method,body,path,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'',b'/',0,0,0,0,0,0,bad
GET,b'',b'/acunetix-wvs-test-for-some-inexistent-file',0,0,0,0,0,0,bad
GET,b'',b'/',0,0,0,0,0,0,bad
GET,b'',b'/HFr4xiA0',0,0,0,0,0,0,bad
GET,b'',b'/MXJu959I',0,0,0,0,0,0,bad
GET,b'',b'/TxOI7frH',0,0,0,0,0,0,bad
GET,b'',b'/',0,0,0,0,0,0,bad
GET,b'',b'/favicon.ico',0,0,0,0,0,0,bad
GET,b'',b'/search.jsp',0,0,0,0,0,0,bad
GET,b'',b'/robots.txt',0,0,0,0,0,0,bad
GET,b'',b'/search.jsp?query=1',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp?content=business_deposit.htm',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp?content=business_retirement.htm',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp?content=business_other.htm',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp?content=inside.htm',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp?content=inside_about.htm',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp?content=business.htm',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp?content=business_lending.htm',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp?content=business_insurance.htm',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp?content=personal_loans.htm',0,0,0,0,0,0,bad
GET,b'',b'/index.jsp?content=business_cards.htm',0,0,0,0,0,0,bad
GET,b'',b'/login.jsp',0,0,0,0,0,0,bad
GET,b'',b'/subscribe.jsp',0,0,0,0,0,0,bad
GET,b'',b'/default.jsp',0,0,0,0,0,0,bad
GET,b'',b'/default.jsp?content=security.htm',0,0,0,0,0,0,bad
GET,b'',b'/feedback.jsp',0,0,0,0,0,0,bad
GET,b'',b'/survey_questions.jsp',0,0,0,0,0,0,bad
GET,b'',b'/status_check.jsp',0,0,0,0,0,0,bad
GET,b'',b'/swagger/index.html',0,0,0,0,0,0,bad
GET,b'',b'/images',0,0,0,0,0,0,bad
GET,b'',b'/swagger',0,0,0,0,0,0,bad
GET,b'',b'/sitemap.xml.gz',0,0,0,0,0,0,bad
GET,b'',b'/sitemap.xml',0,0,0,0,0,0,bad
GET,b'',b'/high_yield_investments.htm',0,0,0,0,0,0,bad
GET,b'',b'/retirement.htm',0,0,0,0,0,0,bad
GET,b'',b'/pr',0,0,0,0,0,0,bad
GET,b'',b'/inside_points_of_interest.htm',0,0,0,0,0,0,bad
GET,b'',b'/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm',0,0,0,0,3,0,bad
GET,b'',b'/my%20documents/JohnSmith/Bank%20Site%20Documents',0,0,0,0,3,0,bad
GET,b'',b'/my%20documents/JohnSmith',0,0,0,0,1,0,bad
GET,b'',b'/my%20documents',0,0,0,0,1,0,bad
POST,b'btnSubmit=Login&passw=acUn3t1x&uid=1',b'/doLogin',0,0,0,0,0,1,bad
GET,b'',b'/doLogin',0,0,0,0,0,0,bad
GET,b'',b'/doSubscribe',0,0,0,0,0,0,bad
POST,b'btnSubmit=Subscribe&txtEmail=sample%40email.tst',b'/doSubscribe',0,0,0,0,0,0,bad
POST,b'cfile=comments.txt&comments=1&email_addr=3137%20Laguna%20Street&name=qeoavhkm&subject=1&submit=Submit',b'/sendFeedback',0,0,0,0,2,0,bad
GET,b'',b'/survey_questions.jsp?step=a',0,0,0,0,0,0,bad
GET,b'',b'/sendFeedback',0,0,0,0,0,0,bad
GET,b'',b'/swagger/swagger-ui-bundle.js',0,0,0,0,0,0,bad
GET,b'',b'/swagger/swagger-ui-standalone-preset.js',0,0,0,0,0,0,bad
GET,b'',b'/images/',0,0,0,0,0,0,bad
GET,b'',b'/swagger/',0,0,0,0,0,0,bad
GET,b'',b'/security.htm',0,0,0,0,0,0,bad
GET,b'',b'/pr/',0,0,0,0,0,0,bad
GET,b'',b'/survey_questions.jsp?step=b',0,0,0,0,0,0,bad
GET,b'',b'/util/serverStatusCheckService.jsp?HostName=AltoroMutual',0,0,0,0,0,0,bad
GET,b'',b'/util/serverStatusCheckService.jsp?HostName=AltoroMutual',0,0,0,0,0,0,bad
GET,b'',b'/util',0,0,0,0,0,0,bad
GET,b'',b'/util/',0,0,0,0,0,0,bad
GET,b'',b'/',0,0,0,0,0,0,bad
GET,b'',b'/',0,0,0,0,0,0,bad
POST,b'btnSubmit=Subscribe&txtEmail=sample%40email.tst',b'/doSubscribe',0,0,0,0,0,0,bad
POST,b'cfile=comments.txt&comments=1&email_addr=3137%20Laguna%20Street&name=qjhotncw&subject=1&submit=Submit',b'/sendFeedback',0,0,0,0,2,0,bad
POST,b'cfile=comments.txt&comments=1&email_addr=3137%20Laguna%20Street&name=kekbdvgm&subject=1&submit=Submit',b'/sendFeedback',0,0,0,0,2,0,bad
POST,b'btnSubmit=Subscribe&txtEmail=sample%40email.tst',b'/doSubscribe',0,0,0,0,0,0,bad
POST,b'btnSubmit=Login&passw=acUn3t1x&uid=1',b'/doLogin',0,0,0,0,0,1,bad
POST,b'btnSubmit=Login&passw=acUn3t1x&uid=1',b'/doLogin',0,0,0,0,0,1,bad
GET,b'',b'/high_yield_investments.htm',0,0,0,0,0,0,bad
GET,b'',b'/search.jsp?query=1',0,0,0,0,0,0,bad
GET,b'',b'/high_yield_investments.htm',0,0,0,0,0,0,bad
GET,b'',b'/search.jsp?query=1',0,0,0,0,0,0,bad
POST,b'btnSubmit=1%27%22&txtEmail=sample%40email.tst',b'/doSubscribe',1,1,0,0,0,0,bad
GET,b'',b'/1%27%22.htm',1,1,0,0,0,0,bad
POST,b'btnSubmit=1%27%22&passw=acUn3t1x&uid=1',b'/doLogin',1,1,0,0,0,1,bad
POST,b'cfile=1%27%22&comments=1&email_addr=3137%20Laguna%20Street&name=kekbdvgm&subject=1&submit=Submit',b'/sendFeedback',1,1,0,0,2,0,bad
GET,b'',b'/search.jsp?query=1%27%22',1,1,0,0,0,0,bad
POST,b'btnSubmit=%5c&txtEmail=sample%40email.tst',b'/doSubscribe',0,0,0,0,0,0,bad
GET,b'',b'/-1%20or%2057%3d57.htm',0,0,0,0,2,0,bad
POST,b'btnSubmit=-1%20or%20108%3d108&txtEmail=sample%40email.tst',b'/doSubscribe',0,0,0,0,2,0,bad
GET,b'',b'/%5c.htm',0,0,0,0,0,0,bad
POST,b'cfile=-1%20or%2089%3d89&comments=1&email_addr=3137%20Laguna%20Street&name=qjhotncw&subject=1&submit=Submit',b'/sendFeedback',0,0,0,0,4,0,bad
POST,b'cfile=%5c&comments=1&email_addr=3137%20Laguna%20Street&name=kekbdvgm&subject=1&submit=Submit',b'/sendFeedback',0,0,0,0,2,0,bad
POST,b'btnSubmit=-1%20or%20103%3d103&passw=acUn3t1x&uid=1',b'/doLogin',0,0,0,0,2,1,bad
POST,b'btnSubmit=%5c&passw=acUn3t1x&uid=1',b'/doLogin',0,0,0,0,0,1,bad
GET,b'',b'/search.jsp?query=%5c',0,0,0,0,0,0,bad
POST,b'btnSubmit=-1%20or%20108%3d0&txtEmail=sample%40email.tst',b'/doSubscribe',0,0,0,0,2,0,bad
POST,b'cfile=-1%20or%2089%3d0&comments=1&email_addr=3137%20Laguna%20Street&name=qjhotncw&subject=1&submit=Submit',b'/sendFeedback',0,0,0,0,4,0,bad
POST,b'btnSubmit=1%c0%00xa7%c0%a2&txtEmail=sample%40email.tst',b'/doSubscribe',0,0,0,0,0,0,bad
POST,b'cfile=1%c0%00xa7%c0%a2&comments=1&email_addr=3137%20Laguna%20Street&name=kekbdvgm&subject=1&submit=Submit',b'/sendFeedback',0,0,0,0,2,0,bad
GET,b'',b'/-1%20or%2057%3d0.htm',0,0,0,0,2,0,bad
GET,b'',b'/1%c0%00xa7%c0%a2.htm',0,0,0,0,0,0,bad
POST,b'btnSubmit=1%c0%00xa7%c0%a2&passw=acUn3t1x&uid=1',b'/doLogin',0,0,0,0,0,1,bad
GET,b'',b'/search.jsp?query=1%c0%00xa7%c0%a2',0,0,0,0,0,0,bad
