method,body,path,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'',b'/',0,0,0,0,0,0,good
GET,b'',b'/HmMjVS0m',0,0,0,0,0,0,good
GET,b'',b'/TI5tCZ1t',0,0,0,0,0,0,good
GET,b'',b'/VYZEUtrA',0,0,0,0,0,0,good
GET,b'',b'/',0,0,0,0,0,0,good
GET,b'',b'/robots.txt',0,0,0,0,0,0,good
POST,b'goButton=go&searchFor=1',b'/search.php?test=query',0,0,0,0,0,0,good
GET,b'',b'/hpp',0,0,0,0,0,0,good
GET,b'',b'/login.php',0,0,0,0,0,0,good
GET,b'',b'/search.php',0,0,0,0,0,0,good
GET,b'',b'/artists.php',0,0,0,0,0,0,good
GET,b'',b'/index.php',0,0,0,0,0,0,good
GET,b'',b'/cart.php',0,0,0,0,0,0,good
GET,b'',b'/guestbook.php',0,0,0,0,0,0,good
GET,b'',b'/categories.php',0,0,0,0,0,0,good
GET,b'',b'/AJAX/index.php',0,0,0,0,0,0,good
GET,b'',b'/disclaimer.php',0,0,0,0,0,0,good
GET,b'',b'/userinfo.php',0,0,0,0,0,0,good
GET,b'',b'/privacy.php',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop',0,0,0,0,0,0,good
GET,b'',b'/Flash/add.swf',0,0,0,0,0,0,good
GET,b'',b'/showimage.php',0,0,0,0,0,0,good
GET,b'',b'/signup.php',0,0,0,0,0,0,good
GET,b'',b'/product.php',0,0,0,0,0,0,good
GET,b'',b'/redir.php',0,0,0,0,0,0,good
GET,b'',b'/sendcommand.php',0,0,0,0,0,0,good
GET,b'',b'/index.bak',0,0,0,0,0,0,good
GET,b'',b'/listproducts.php',0,0,0,0,0,0,good
GET,b'',b'/logout.php',0,0,0,0,0,0,good
GET,b'',b'/database_connect.php',0,0,0,0,0,0,good
GET,b'',b'/crossdomain.xml',0,0,0,0,0,0,good
GET,b'',b'/comment.php',0,0,0,0,0,0,good
GET,b'',b'/clientaccesspolicy.xml',0,0,0,0,0,0,good
GET,b'',b'/clearguestbook.php',0,0,0,0,0,0,good
GET,b'',b'/404.php',0,0,0,0,0,0,good
GET,b'',b'/wvstests/pmwiki_2_1_19/scripts/version.php',0,0,0,0,0,0,good
GET,b'',b'/vendor/installed.json',0,0,0,0,0,0,good
GET,b'',b'/secured/newuser.php',0,0,0,0,0,0,good
GET,b'',b'/secured/office.htm',0,0,0,0,0,0,good
GET,b'',b'/secured/index.php',0,0,0,0,0,0,good
GET,b'',b'/secured/phpinfo.php',0,0,0,0,0,0,good
GET,b'',b'/secured/database_connect.php',0,0,0,0,0,0,good
GET,b'',b'/pictures/path-disclosure-win.html',0,0,0,0,0,0,good
GET,b'',b'/pictures/wp-config.bak',0,0,0,0,0,0,good
GET,b'',b'/pictures/credentials.txt',0,0,0,0,0,0,good
GET,b'',b'/pictures/path-disclosure-unix.html',0,0,0,0,0,0,good
GET,b'',b'/pictures/ipaddresses.txt',0,0,0,0,0,0,good
GET,b'',b'/pictures/WS_FTP.LOG',0,0,0,0,0,0,good
GET,b'',b'/hpp/test.php',0,0,0,0,0,0,good
GET,b'',b'/hpp/index.php',0,0,0,0,0,0,good
GET,b'',b'/hpp/params.php',0,0,0,0,0,0,good
GET,b'',b'/bxss/index.php',0,0,0,0,0,0,good
GET,b'',b'/bxss/cleanDatabase.php',0,0,0,0,0,0,good
GET,b'',b'/bxss/vuln.php',0,0,0,0,0,0,good
GET,b'',b'/bxss/test.js',0,0,0,0,0,0,good
GET,b'',b'/bxss/database_connect.php',0,0,0,0,0,0,good
GET,b'',b'/bxss/adminPan3l/index.php',0,0,0,0,0,0,good
GET,b'',b'/admin/create.sql',0,0,0,0,0,0,good
GET,b'',b'/adm1nPan3l/index.php',0,0,0,0,0,0,good
GET,b'',b'/_mmServerScripts/mysql.php',0,0,0,0,0,0,good
GET,b'',b'/_mmServerScripts/MMHTTPDB.php',0,0,0,0,0,0,good
GET,b'',b'/Templates/main_dynamic_template.dwt.php',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/details.php',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/index.php',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/buy.php',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/rate.php',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/.htaccess',0,0,0,0,0,0,good
GET,b'',b'/Connections/DB_Connection.php',0,0,0,0,0,0,good
GET,b'',b'/CVS/Repository',0,0,0,0,0,0,good
GET,b'',b'/AJAX/infoartist.php',0,0,0,0,0,0,good
GET,b'',b'/AJAX/artists.php',0,0,0,0,0,0,good
GET,b'',b'/AJAX/titles.php',0,0,0,0,0,0,good
GET,b'',b'/AJAX/showxml.php',0,0,0,0,0,0,good
GET,b'',b'/AJAX/categories.php',0,0,0,0,0,0,good
GET,b'',b'/AJAX/infocateg.php',0,0,0,0,0,0,good
GET,b'',b'/AJAX/infotitle.php',0,0,0,0,0,0,good
GET,b'',b'/.idea/workspace.xml',0,0,0,0,0,0,good
GET,b'',b'/AJAX/htaccess.conf',0,0,0,0,0,0,good
GET,b'',b'/.idea/vcs.xml',0,0,0,0,0,0,good
GET,b'',b'/.idea/modules.xml',0,0,0,0,0,0,good
GET,b'',b'/.idea/encodings.xml',0,0,0,0,0,0,good
GET,b'',b'/.idea/misc.xml',0,0,0,0,0,0,good
GET,b'',b'/.idea/.name',0,0,0,0,0,0,good
GET,b'',b'/.idea/acuart.iml',0,0,0,0,0,0,good
GET,b'',b'/.idea/scopes/scope_settings.xml',0,0,0,0,0,0,good
GET,b'',b'/AJAX',0,0,0,0,0,0,good
GET,b'',b'/images',0,0,0,0,0,0,good
GET,b'',b'/Flash',0,0,0,0,0,0,good
GET,b'',b'/wvstests',0,0,0,0,0,0,good
GET,b'',b'/wvstests/pmwiki_2_1_19',0,0,0,0,0,0,good
GET,b'',b'/wvstests/pmwiki_2_1_19/scripts',0,0,0,0,0,0,good
GET,b'',b'/vendor',0,0,0,0,0,0,good
GET,b'',b'/secured',0,0,0,0,0,0,good
GET,b'',b'/pictures',0,0,0,0,0,0,good
GET,b'',b'/bxss',0,0,0,0,0,0,good
GET,b'',b'/bxss/adminPan3l',0,0,0,0,0,0,good
GET,b'',b'/admin',0,0,0,0,0,0,good
GET,b'',b'/adm1nPan3l',0,0,0,0,0,0,good
GET,b'',b'/_mmServerScripts',0,0,0,0,0,0,good
GET,b'',b'/Templates',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/images',0,0,0,0,0,0,good
GET,b'',b'/Connections',0,0,0,0,0,0,good
GET,b'',b'/CVS',0,0,0,0,0,0,good
GET,b'',b'/.idea',0,0,0,0,0,0,good
GET,b'',b'/.idea/scopes',0,0,0,0,0,0,good
GET,b'',b'/sitemap.xml',0,0,0,0,0,0,good
POST,b'pass=acUn3t1x&uname=htxxwdue',b'/userinfo.php',0,0,0,0,0,0,good
GET,b'',b'/sitemap.xml.gz',0,0,0,0,0,0,good
POST,b'name=anonymous%20user&submit=add%20message&text=1',b'/guestbook.php',0,0,0,0,2,0,good
GET,b'',b'/Mod_Rewrite_Shop/',0,0,0,0,0,0,good
GET,b'',b'/hpp/',0,0,0,0,0,0,good
GET,b'',b'/artists.php?artist=2',0,0,0,0,0,0,good
GET,b'',b'/artists.php?artist=3',0,0,0,0,0,0,good
GET,b'',b'/listproducts.php?cat=3',0,0,0,0,0,0,good
GET,b'',b'/listproducts.php?cat=4',0,0,0,0,0,0,good
GET,b'',b'/listproducts.php?cat=1',0,0,0,0,0,0,good
POST,b'signup=signup&uaddress=3137%20Laguna%20Street&ucc=4111111111111111&uemail=sample%40email.tst&upass=acUn3t1x&upass2=acUn3t1x&uphone=555-666-0606&urname=txgcsqdc&uuname=abkfulto',b'/secured/newuser.php',0,0,0,0,2,0,good
POST,b'comment=1&name=%3cyour%20name%20here%3e&phpaction=echo%20%24_POST%5bcomment%5d%3b&Submit=Submit',b'/comment.php',0,0,0,0,3,0,good
GET,b'',b'/redir.php?r=http://www.eclectasy.com/Fractal-Explorer/index.html',0,0,0,0,0,0,good
GET,b'',b'/secured/phpinfo.php?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000',0,0,0,0,0,0,good
GET,b'',b'/secured/phpinfo.php?=PHPE9568F35-D428-11d2-A769-00AA001ACF42',0,0,0,0,0,0,good
GET,b'',b'/secured/phpinfo.php?=PHPE9568F34-D428-11d2-A769-00AA001ACF42',0,0,0,0,0,0,good
GET,b'',b'/secured/office_files/filelist.xml',0,0,0,0,0,0,good
GET,b'',b'/secured/office_files',0,0,0,0,0,0,good
GET,b'',b'/medias/css/main.css',0,0,0,0,0,0,good
GET,b'',b'/medias/js/common_functions.js',0,0,0,0,0,0,good
GET,b'',b'/medias',0,0,0,0,0,0,good
GET,b'',b'/medias/css',0,0,0,0,0,0,good
GET,b'',b'/medias/img',0,0,0,0,0,0,good
GET,b'',b'/medias/js',0,0,0,0,0,0,good
GET,b'',b'/hpp/index.php?pp=12',0,0,0,0,0,0,good
GET,b'',b'/bxss/vuln.php?id=1',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/Details/web-camera-a4tech/2',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/Details/color-printer/3',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/Details/network-attached-storage-dlink/1',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/Details',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/Details/color-printer',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/Details/web-camera-a4tech',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/Details/network-attached-storage-dlink',0,0,0,0,0,0,good
GET,b'',b'/AJAX/',0,0,0,0,0,0,good
GET,b'',b'/images/',0,0,0,0,0,0,good
GET,b'',b'/Flash/',0,0,0,0,0,0,good
GET,b'',b'/wvstests/',0,0,0,0,0,0,good
GET,b'',b'/wvstests/pmwiki_2_1_19/',0,0,0,0,0,0,good
GET,b'',b'/vendor/',0,0,0,0,0,0,good
GET,b'',b'/secured/',0,0,0,0,0,0,good
GET,b'',b'/wvstests/pmwiki_2_1_19/scripts/',0,0,0,0,0,0,good
GET,b'',b'/pictures/',0,0,0,0,0,0,good
GET,b'',b'/bxss/',0,0,0,0,0,0,good
GET,b'',b'/bxss/adminPan3l/',0,0,0,0,0,0,good
GET,b'',b'/admin/',0,0,0,0,0,0,good
GET,b'',b'/adm1nPan3l/',0,0,0,0,0,0,good
